bankCode;branchCode;bic;bankName;postalCode;city;flags
10096;;;Lyonnaise de banque;69207;LYON CEDEX 01;
10107;;BREDFRPPXXX;BRED - Banque populaire;75012;PARIS 12;
10108;;;Bayerische Landesbank;75380;PARIS CEDEX 08;
10128;;BCITFRPPXXX;Intesa Sanpaolo SpA;75002;PARIS 02;
10140;;CCMRFR21XXX;Caisse de crédit municipal de Marseille;13232;MARSEILLE CEDEX 1;
10160;;;CRÉDIT MOBILIER DE MONACO;98000;ONACO;
16608;;;LA BANQUE POSTALE HOME LOAN SFH;75275;PARIS CEDEX 06;
17863;;;Deutsche Pfandbriefbank AG;75009;PARIS 09;
16618;;;The Export-Import Bank of China;75008;PARIS;
17188;;;AXA Home Loan SFH;94138;FONTENAY-SOUS-BOIS;
25533;;;Goldman Sachs Bank Europe SE;75116;PARIS;
25933;;;DekaBank Deutsche Girozentrale;75009;PARIS;
13188;;;PORTZAMPARC;75009;PARIS 09;
19553;;PROCFRPPXXX;Arkéa ProCapital Services;92400;COURBEVOIE;
45418;;;BNP PARIBAS FINANCIAL MARKETS;75009;PARIS;
12148;;;SG option Europe;75886;PARIS CEDEX 18;
12583;;BOFAFRP3XXX;BofA Securities Europe SA;75008;Paris;
23233;;;Citigroup global markets Europe AG;75008;PARIS;
23633;;;MUFG SECURITIES (EUROPE) N.V.;75002;PARIS;
11998;;;Unicredit Bank GmbH;75008;PARIS 08;
17628;;;The Access Bank UK Limited;75002;PARIS;
922577887;;;BEA INTERNATIONAL BANK S.A.;75008;PARIS 16 EME;
17708;;AGRIFRP1FHS;CREDIT AGRICOLE FINANCEMENT DE L HABITAT SFH;92120;MONTROUGE;
31033;;MHCBFRPPXXX;Mizuho Bank Europe N.V. Paris Branch;75008;PARIS;
980884084;;BIKCFRP1XXX;Saxo Bank A/S;75002;PARIS;
17858;;;ZENITH BANK (UK) LIMITED;75002;PARIS;
31233;;;Trade Republic Bank GmbH;92200;NEUILLY SUR SEINE;
14228;;;SGB Finance;59700;MARCQ EN BAROEUL;
42529;;COFIFRCPXXX;Edmond de Rothschild (France);75008;PARIS 08;
31333;;;Banque Internationale à Luxembourg S.A.;75008;PARIS;
989253778;;;Landesbank Baden-Württemberg;75116;PARIS;
915062012;;SAOFFR21HAM;Open Bank, S.A.;92300;LEVALLOIS PERRET;
13048;;;VISTA BANK FRANCE;75009;PARIS;
10188;;BCHAFR21XXX;Banque Chalus;63002;CLERMONT-FERRAND;
10206;;AGRIFRPP802;Caisse régionale de crédit agricole mutuel du Nord Est;51088;REIMS CEDEX;
10207;;;Banque populaire Rives de Paris;75013;PARIS 13;
10218;;RABOFRPPXXX;Coöperatieve Rabobank U.A.;75008;PARIS;
10278;;;Caisse fédérale de crédit mutuel;67000;STRASBOURG;
10548;;;Banque de Savoie;73024;CHAMBERY CEDEX;
10807;;;Banque populaire Bourgogne Franche-Comté;21008;DIJON CEDEX;
10907;;;Banque populaire Aquitaine Centre Atlantique;33100;BORDEAUX;
10918;;CHDUFRPPXXX;Cholet Dupont Oudart;75008;PARIS 08;
11006;;AGRIFRPP810;Caisse régionale de crédit agricole mutuel de Champagne-Bourgogne;10080;TROYES CEDEX;
11128;;;BPCE lease;75013;PARIS 13;
11138;;;BPCE Factor;75013;PARIS 13;
11188;;RCINFRPPXXX;RCI Banque;75002;PARIS;
11206;;AGRIFRPP812;Caisse régionale de crédit agricole mutuel Nord Midi-Pyrénées;81022;ALBI CEDEX 9;
11238;;SWILFRPPBDF;SwissLife banque privée;75001;PARIS 01;
17978;;;ANZ Europe SA (ANZ EU);75008;PARIS;
17988;;;REVOLUT BANK S.A.;75116;PARIS;
11306;;AGRIFRPP813;Caisse régionale de crédit agricole mutuel Alpes Provence;13097;AIX EN PROVENCE Cedex2;
11307;;;CASDEN Banque Populaire;77420;CHAMPS SUR MARNE;
11315;;;Caisse d'Epargne CEPAC;13254;MARSEILLE CEDEX 6;
11380;;CRRHFRPAXXX;C.R.H. - Caisse de refinancement de l'habitat;75008;PARIS 08;
11425;;;Caisse d'épargne et de prévoyance Normandie;76230;BOIS GUILLAUME BIHOREL;
11438;;HRFRFRP2XXX;Banque Hottinguer;75009;PARIS 09;
11449;;BDEIFRPPXXX;BANQUE FIDUCIAL;92400;COURBEVOIE;
11470;;;Natixis coficiné;75116;PARIS 16;
11550;;;Caisse de crédit municipal de Toulouse;31006;TOULOUSE CEDEX;
11600;;;Crédit mutuel Real Estate Lease;75107;PARIS CEDEX 02;
11668;;BERLMCMCXXX;Edmond de Rothschild (Monaco);98006;MONACO CEDEX;
11706;;AGRIFRPP817;Caisse régionale de crédit agricole mutuel Charente-Maritime Deux-Sèvres;17140;LAGORD;
11808;;CMCIFRPAXXX;Banque fédérative du crédit mutuel;67000;STRASBOURG;
11833;;ICBKFRPPXXX;Industrial and commercial bank of China (Europe) SA - ICBC (Europe) SA;75008;PARIS 08;
11899;;;Banque Européenne du Crédit Mutuel;67000;STRASBOURG;
11978;;;Crédit Mutuel Factoring;92988;PARIS LA DEFENSE CEDEX;
11989;;BREDFRPPXXX;Banque Pouyanne;64300;ORTHEZ;
11999;;UBSWMCMXXXX;UBS (MONACO) S.A.;98000;MONACO;
12006;;AGRIFRPP820;Caisse régionale de crédit agricole mutuel de la Corse;20700;AJACCIO CEDEX 9;
12128;;;Société centrale pour le financement de l'immobilier - Socfim;75015;PARIS 15;
12135;;;Caisse d'épargne et de prévoyance de Bourgogne Franche-Comté;21000;DIJON;
25833;;;Macquarie Bank Europe Designated Activity Company;75008;PARIS;
17288;;;Bank PICTET & CIE (Europe) AG;98000;MONACO;
26633;;;Allfunds Bank, S.A.U.;75009;PARIS;
27033;;;Riverbank S.A.;75008;PARIS;
17338;;MEMOFRP2XXX;MEMO BANK;75010;PARIS;
27133;;NSMBFRPPXXX;ABN Amro Bank NV;75008;PARIS;
27533;;;SMBC Bank EU AG;75008;PARIS;
17128;;BPLCFRPPXXX;BARCLAYS BANK PLC, FRENCH BRANCH;75008;PARIS;
27633;;;BUNQ B.V;75011;PARIS;
27733;;;CA Auto Bank S.p.A. Succursale en France;78190;TRAPPES;
28033;;;KLARNA BANK AB;75009;PARIS;
28233;;;REVOLUT BANK UAB;75008;PARIS;
30133;;;Banque J. Safra Sarasin (Luxembourg) SA, Succursale en France;75008;PARIS;
14733;;;SEB Kort Bank AB;75017;PARIS;
14433;;;Morgan stanley europe SE;75008;PARIS;
12179;;BIARFRPPXXX;Banque BIA;75008;PARIS 08;
12206;;AGRIFRPP822;Caisse régionale de crédit agricole mutuel des Côtes-d'Armor;22440;PLOUFRAGAN;
12240;;AGFBFRCCXXX;Allianz banque;92076;Paris La défense Cedex;
12249;;BMCEFRPPXXX;BANK OF AFRICA UNITED KINGDOM PLC (succursale de Paris);75008;PARIS;
12280;;SORMFR2NXXX;Socram banque;79092;NIORT CEDEX 9;
12406;;AGRIFRPP824;Caisse régionale de crédit agricole mutuel Charente-Périgord (Crédit agricole  Charente-Périgord);16024;ANGOULEME CEDEX;
12420;;;Caisse de crédit municipal de Reims;51100;REIMS;
12448;;BAECMCMXXXX;Barclays bank plc monaco;98000;Monaco;
12468;;BCGEFR21XXX;Banque cantonale de Genève (France) S.A.;69001;LYON 01;
12478;;;FCE bank plc;78174;ST GERMAIN EN LAYE CEDEX;
12506;;AGRIFRPP825;Caisse régionale de crédit agricole mutuel de Franche-Comté;25084;BESANCON CEDEX 9;
12548;;AXABFRPPXXX;Axa banque;94138;FONTENAY-SOUS-BOIS CEDEX;
12579;;;Banque BCP;75001;PARIS;
12619;;CGDIFRPPXXX;Caixa geral de depositos S.A.;75009;PARIS 09;
12739;;CFMOMCMXXXX;CFM Indosuez Wealth;98012;Monaco cedex;
12749;;;BPCE Bail;75013;PARIS 13;
12779;;;BRED Cofilease;75012;PARIS 12;
12818;;;Institut pour le financement du cinéma et des industries culturelles - I.F.C.I.C.;75009;PARIS;
17538;;;National Australia Bank Europe S.A;75002;PARIS;
29333;;;HSBC PRIVATE BANK (LUXEMBOURG) S.A.;75116;PARIS 16;
15333;;;Toyota material handling commercial finance AB;77600;BUSSY ST GEORGE;
16648;;UBPGMCMXXXX;UNION BANCAIRE PRIVEE, UBP SA;98000;GENEVE;
12869;;BACCFR22XXX;ONEY BANK;59170;CROIX CEDEX;
12879;;DELUFR22LCH;Banque Delubac et Cie;07160;LE CHEYLARD;
12906;;AGRIFRPP829;Caisse régionale de crédit agricole mutuel du Finistère;29555;QUIMPER CEDEX 9;
12978;;;JCB Finance;92000;NANTERRE;
13070;;;Crédit Mutuel Leasing;92988;PARIS LA DEFENSE CEDEX;
13088;;;BNP PARIBAS ANTILLES-GUYANE;75009;PARIS 09;
13106;;AGRIFRPP831;Caisse régionale de crédit agricole mutuel Toulouse 31;31005;TOULOUSE CEDEX 6;
13135;;;Caisse d'épargne et de prévoyance de Midi-Pyrénées;31100;TOULOUSE;
13149;;EDELFRP1001;Banque Edel SA;31676;LABEGE CEDEX;
13150;;;LixxBail;92548;MONTROUGE CEDEX;
13306;;AGRIFRPP833;Caisse régionale de crédit agricole mutuel d'Aquitaine;33076;BORDEAUX CEDEX;
