bankCode;branchCode;bic;bankName;postalCode;city;flags
1578;;SOBKESM2XXX;SOLARIS SE, SUCURSAL EN ESPAÑA;28004;MADRID;
0240;;BCCAESMMXXX;Banco de Crédito Social Cooperativo;04131;ALMERIA;
0241;;AYGBESMMXXX;A&G BANCO, S.A.;28046;Madrid;
1550;;;Banca Popolare Etica Società Cooperativa per Azioni, Sucursal en España;48010;BILBAO;
3187;;BCOEESMM187;Caja Rural del Sur, S. Coop. de Crédito;41001;Sevilla;
3190;;BCOEESMM190;Caja Rural de Albacete, Ciudad Real y Cuenca, Sociedad Cooperativa de Crédito;02002;Albacete;
3191;;BCOEESMM191;Caja Rural de Aragón, Sociedad Cooperativa de Crédito;50003;Zaragoza;
0242;;;Sabadell Consumer Finance, S.A.;08190;SANT CUGAT DEL VALLES;
1551;;;SMBC Bank EU AG, Sucursal en España;28001;Madrid;
1552;;;Mirabaud & Cie (Europe) S.A., Sucursal en España;28010;Madrid;
1553;;PCBCESBBXXX;China Construction Bank (Europe), S.A., Sucursal en España;08017;Barcelona;
1554;;FASNESM1XXX;BFF Bank, S.P.A. Sucursal en España;28046;Madrid;
3160;;;Caixa Rural Sant Josep de Vilavella, S. Coop. de Crédito V.;12526;VILABELLA;
3162;;;Caixa Rural Benicarló, S. Coop. de Credit V.;12580;BENICARLO;
3165;;;Caja Rural San Isidro de Vilafames S. Coop. de Crédito V.;12192;VILAFAMES;
3166;;;Caixa Rural Les Coves de Vinromá, S. Coop. de Crédit V.;12185;LES COVES DE VINROMA;
3174;;;Caixa Rural Vinarós, S. Coop. de Credit. V.;12500;VINAROS;
3179;;;Caja Rural de Alginet, Sociedad Cooperativa Crédito Valenciana;46230;ALGINET;
3183;;CASDESBBXXX;Arquia Bank, S.A.;28008;MADRID;
1555;;;Crédit Mutuel Leasing, Sucursal en España;28046;MADRID;
1557;;;Unicredit, S.p.A., Sucursal en España;28010;Madrid;
