bankCode,bic,bankName,postalCode,city,flags
30177,COBACHZHXXX,"COMMERZBANK AG FF, Zweigniederlassung Zürich",8001,Zürich,
30178,SKBPCH22XXX,Sparkasse Bundespersonal,3003,Bern,
30180,BSCHCHGGXXX,Banco Santander International SA,1211,Genève 1,
30182,FSUICHGGXXX,Nexent Bank (Suisse) SA,1204,Genève,
30184,IVESCHZZXXX,Investec Bank (Switzerland) AG,8022,Zürich,
30186,ANPRCH22XXX,Banque Richelieu (Schweiz) AG,8008,Zürich,
30188,FVLBCHZZXXX,Van Lanschot Kempen (Schweiz) AG,8034,Zürich,
30189,BILSCHZZXXX,Banque Internationale à Luxembourg (Suisse) SA,8001,Zürich,
30190,BBVACHZZXXX,BBVA SA,8021,Zürich,
30194,FBGSCHZZXXX,Frankfurter Bankgesellschaft (Schweiz) AG,8022,Zürich,
30196,VRLLCHZZXXX,Bank von Roll AG,8027,Zürich,
30197,SYCOCHGGXXX,Banque SYZ SA,1201,Geneva,
30198,CAGYCH21XXX,Caisse d'Epargne de Nyon société coopérative,1260,Nyon,
30199,RBABCH22CEA,Caisse d'Epargne d'Aubonne Sociéte coopérative,1170,Aubonne,
30201,AEXTCHZZXXX,Banque Algérienne du Commerce Extérieur SA,8001,Zürich,
30202,CDEMCH21XXX,Caisse d'Epargne et de Crédit Mutuel de Chermignon,3971,Chermignon,
30203,ISAECH2NXXX,"CACEIS Bank, Montrouge, succursale de Nyon / Suisse",1260,Nyon,
30206,NEPICHZZXXX,NPB Neue Privat Bank AG,8024,Zürich,
30207,QNBACHGGXXX,QNB (Suisse) SA,1201,Genève,
30208,MGTCCHGGXXX,J.P. Morgan (Suisse) SA,1211,Genève 11,
30209,REYLCHGGXXX,Intesa Sanpaolo Wealth Management SA,1204,Genève,
30210,NBOKCHGGXXX,NBK Banque Privée (Suisse) SA,1204,Genève,
30211,BBRUCHGTXXX,"ING Bank N.V., Amsterdam, succursale de Lancy/Genève",1213,Petit-Lancy,
30212,BABRCHGGXXX,Banque Eric Sturdza SA,1211,Genève 3,
30213,BCRECH22XXX,Banca Credinvest SA,6902,Lugano,
30214,VRBPCH22XXX,Banca Aletti & C. (Suisse) SA,6900,Lugano,
30216,UNCECH22XXX,Axion SWISS Bank SA,6900,Lugano,
30217,NBPSCHGGXXX,FAB Private Bank (Suisse) SA,1211,Genève 11,
30218,BAMRCHZZXXX,Mercantil Bank (Schweiz) AG,8036,Zürich,
30220,VPBVCHZHXXX,VP Bank (Schweiz) AG,8001,Zürich,
30221,SELVCHGGXXX,SELVI & Cie SA,1211,Genève 11,
30223,BEGOCHZZXXX,Bergos AG,8034,Zürich,
30224,BLOMCHGGXXX,BANQUE BANORIENT (SUISSE) SA,1206,Genève,
30225,SCOPCHBBXXX,Scobag Privatbank AG,4010,Basel,
30226,CCIECHGGXXX,Hyposwiss Private Bank Genève SA,1211,Genève 1,
30228,GRAFCH22XXX,Privatbank Von Graffenried AG,3001,Bern,
30229,DREYCHBBXXX,"Dreyfus Söhne & Cie AG, Banquiers",4002,Basel,
30230,BONHCH22XXX,Banque Bonhôte & Cie SA,2001,Neuchâtel,
30231,PRIBCHGGXXX,Edmond de Rothschild (Suisse) S.A,1211,Genève 11,
30232,TRAPCHBBXXX,Trafina Privatbank AG,4020,Basel,
30233,MAEBCHZZXXX,"Maerki, Baumann & Co. AG",8022,Zürich,
30234,MEDSCHGGXXX,Banque Des Monts Blancs SA,1211,Genève,
30237,BACECH22XXX,Banca del Ceresio SA,6901,Lugano,
30238,EUBACH22XXX,Banca Zarattini & Co. SA,6900,Lugano,
30239,GENOCHZZXXX,DZ PRIVATBANK (Schweiz) AG,8022,Zürich,
30240,EFGBCHGGXXX,EFG Bank European Financial Group SA,1211,Genève 2,
30241,NBSZCHZZXXX,Nomura Bank (Switzerland) Ltd,8021,Zürich,
30243,AUDSCHGGXXX,Banque Audi (Suisse) SA,1211,Genève 12,
30244,BPCPCHGGXXX,Banque de Commerce et de Placements SA,1211,Genève 3,
30245,BJHSCHZZXXX,Schroder & Co Bank AG,8021,Zürich,
30246,CBSWCHZZXXX,Citibank (Switzerland) AG,8010,Zürich,
30248,UBPGCHGGXXX,"Union Bancaire Privée, UBP SA",1211,Genève 1,
30249,DEUTCHGGXXX,Deutsche Bank (Suisse) S.A.,1201,Genève 1,
30250,RKBZCHZZXXX,GPB (Schweiz) AG,8032,Zürich,
30251,ROTACHZZXXX,Rothschild & Co Bank AG,8034,Zürich,
30252,PKBSCH22XXX,PKB PRIVATE BANK SA,6900,Lugano,
30253,EFGBCHZZXXX,EFG Bank AG,8022,Zürich,
30254,BLICCHGGXXX,HSBC Private Bank (Suisse) SA,1211,Genève 1,
30256,CITICHZZXXX,"Citibank N.A., Sioux Falls",8010,Zürich,
30259,SGABCHZZXXX,Société Générale,8021,Zürich,
30260,ARBSCHZZXXX,Arab Bank (Switzerland) Ltd.,1204,Genève,
30261,GONECHGGXXX,Gonet & Cie SA,1211,Genève 11,
30262,BOFACH2XXXX,"Bank of America Europe DAC, Dublin, Zurich Branch",8002,Zürich,
30263,CRAMCHGGXXX,Banque Cramer & Cie SA,1211,Genève 12,
30264,BARCCHGGXXX,Barclays Bank (Suisse) SA,1211,Genève 3,
30269,BAUMCHBBXXX,Baumann & Cie KmG,4002,Basel,
